N,CT_NSquare,CPU_NSquare,CT/CPU_NSquare,Log(CPU)_NSquare,CT_NLog3,CPU_NLog3,CT/CPU_NLog3,Log(CPU)_NLog3,CT_NLogN,CPU_NLogN,CT/CPU_NLogN,Log(CPU)_NLogN
1,1,0.00007506943021641987,13321.00159968006,7.506943021641987E-5,1,0.0002289558614669162,4367.654069186163,2.2895586146691623E-4,0,0.002227430397810785,0,0.0022274303978107846
3,9,0.0001247792628392460,72127.36952609477,1.2477926283924597E-4,5.704522494691118,0.0008727093778302850,6536.566054639637,8.72709377830285E-4,4.754887502163469,0.005299842202258765,897.1752970563842,0.005299842202258765
7,49,0.0002942025853941977,166551.9014197160,2.9420258539419766E-4,21.84986222490515,0.002631958427582461,8301.750512440634,0.0026319584275824614,19.65148445440323,0.01313725953771347,1495.858736594889,0.013137259537713471
15,225,0.0009887790091766047,227553.3743251350,9.887790091766047E-4,73.12410153804967,0.008587044054746914,8515.631347859069,0.008587044054746914,58.60335893412778,0.02874187485991138,2038.953938104665,0.02874187485991138
31,961,0.004177889017356493,230020.4711057789,0.004177889017356493,231.0746797104894,0.02617557156017084,8827.875226308190,0.02617557156017084,153.5800856219932,0.05627447450150785,2729.125184774103,0.056274474501507854
63,3969,0.01910893737342860,207703.8572285543,0.019108937373428603,711.0289716809049,0.08311589024248367,8554.669505512571,0.08311589024248367,376.5686351804948,0.1263644633110976,2980.020057169218,0.12636446331109763
127,16129,0.03772375140492876,427555.5690861827,0.03772375140492876,2159.981376206762,0.2217246730215030,9741.727642540196,0.221724673021503,887.5629552200651,0.2353190287972897,3771.743236220121,0.23531902879728966
255,65025,0.2515214001911180,258526.7096580684,0.251521400191118,6520.425579299937,0.7674953959484346,8495.719471049468,0.7674953959484346,2038.560126399009,0.5900884955752213,3454.668480550210,0.5900884955752213
511,261121,0.2676908253934268,975457.4129174165,0.2676908253934268,19622.10353354474,2.097734899328859,9353.948175159101,2.097734899328859,4597.558714759124,1.081063553826200,4252.810760742993,1.0810635538261997
1023,1046529,3.781557067271353,276745.5260843494,3.7815570672713528,58957.62918436967,6.447164948453608,9144.737207089918,6.447164948453608,10228.55800962947,2.486083499005964,4114.326012669831,2.4860834990059644
2047,4190209,15.94267515923567,262829.7295245705,15.94267515923567,177009.9241935666,19.93625498007968,8878.795158390330,19.93625498007968,22515.55765723692,6.253433208489389,3600.511416140302,6.253433208489389
4095,16769025,60.17857142857143,278654.4213649852,60.17857142857143,531235.3716045980,58.04597701149425,9151.975708831689,58.04597701149425,49138.55748108368,11.29796839729120,4349.326865958055,11.297968397291196
8191,67092481,230.4090909090909,291188.5148944565,230.4090909090909,1594014.546393142,170.6000000000000,9343.578818248194,170.6,106481.5573930178,24.55392156862745,4336.641586778925,24.55392156862745
16383,268402689,904.6666666666666,296686.8338246131,904.6666666666666,4782506.311329608,512.6000000000000,9329.899163733140,512.6,229360.5573489876,49.62376237623762,4621.990481294442,49.62376237623762
32767,1073676289,3826,280626.3170412964,3826.0,14348212.96079942,1547.5,9271.866210532742,1547.5,491503.5573269731,115.8181818181818,4243.751279903222,115.81818181818181
65535,4294836225,14767,290840.1317126025,14767.0,43045679.93655293,4671,9215.517006326896,4671.0,1048558.557315966,251.5500000000000,4168.390209962099,251.55
131071,17179607041,58477,293784.0012483540,58477.0,129138601.4013448,13514,9555.912490849847,13514.0,2228205.557310462,763.1428571428571,2919.775159336061,763.1428571428571
