Instance,N,M,N+M,CPU,CT,CT/CPU,Log(CPU),Log(CT/CPU)
../INF-2926/input/alue2087.stp,1244,1971,3215,552877.9200000000,14760.27883804247,0.02669717545971535,19.076601431110177,-5.227169075795121
../INF-2926/input/dmxa1304.stp,298,503,801,14276.29000000000,2952.312219097724,0.2067982801622637,13.801333492389206,-2.27370390735681
../INF-2926/input/dmxa1200.stp,770,1383,2153,34603.91000000000,8766.310269398342,0.2533329403931042,15.078647441079214,-1.9808934147892412
../INF-2926/input/alut0787.stp,1160,2089,3249,51983.58000000000,13897.69454441732,0.2673477768252460,15.665768372159029,-1.9032104150707052
../INF-2926/input/dmxa1010.stp,3983,7108,11091,151307.1900000000,54743.24518146255,0.3618020080966579,17.207121019366756,-1.4667276795676498
../INF-2926/input/alut2625.stp,36711,68117,104828,1179277.590000000,624799.8430844441,0.5298157519337275,20.169471923416662,-0.9164373578260179
../INF-2926/input/dmxa0848.stp,499,861,1360,20230.98000000000,5333.485106663293,0.2636295971160711,14.304278586093986,-1.9234157472439968
../INF-2926/input/alue6735.stp,4119,6696,10815,105562.9800000000,56157.27497436635,0.5319788715169499,16.68774445748285,-0.9105591472117102
../INF-2926/input/alut2288.stp,9070,16595,25665,309778.4000000000,135837.2635972221,0.4384981767522270,18.24087702689455,-1.1893572508399057
../INF-2926/input/dmxa1801.stp,2333,4137,6470,74381.21000000001,30238.53539109914,0.4065345991427020,16.182650596802937,-1.2985499531961084
../INF-2926/input/dmxa0454.stp,1848,3286,5134,53611.41000000000,23340.03222853687,0.4353556869430756,15.710252458564527,-1.1997335258567823
../INF-2926/input/alue6179.stp,3372,5213,8585,132940.6300000000,44730.77910421669,0.3364718453960741,17.020422570331785,-1.5714423038907328
../INF-2926/input/dmxa0734.stp,663,1154,1817,24198.62000000000,7368.209534854645,0.3044888317951456,14.562637155316905,-1.7155387817286398
../INF-2926/input/dmxa0296.stp,233,386,619,6600.340000000000,2218.355371704447,0.3360971361633563,12.688324627872545,-1.5730498451915407
../INF-2926/input/alut2566.stp,5021,9055,14076,288936.0800000000,70781.96398754235,0.2449744732037008,18.140390841672662,-2.029296669337496
../INF-2926/input/alue3146.stp,3626,5869,9495,56900.77000000000,48743.41579853232,0.8566389487968673,15.796160555238865,-0.2232408211622053
../INF-2926/input/dmxa0903.stp,632,1087,1719,10375.01000000000,6966.989432847929,0.6715164065237459,13.340825106557778,-0.574505446803825
../INF-2926/input/dmxa1721.stp,1005,1731,2736,14510.67000000000,11753.84468499662,0.8100139197567462,13.824826513934228,-0.3039813945549432
../INF-2926/input/alue7229.stp,940,1474,2414,17100.99000000000,10757.92592977110,0.6290820548851909,14.06179222669264,-0.6686798862802583
../INF-2926/input/dmxa0368.stp,2050,3676,5726,40124.18000000000,26228.88679850526,0.6536927807248711,15.292184288369517,-0.6133153305102125
../INF-2926/input/alut2610.stp,33901,62816,96717,865891.7100000000,572993.5121476576,0.6617380736300820,19.723827084591193,-0.5956678063299478
../INF-2926/input/alue7066.stp,6405,10454,16859,96225.75,91445.11518774180,0.9503185497410184,16.55413539024198,-0.0735169044981291
../INF-2926/input/alue5901.stp,11543,18429,29972,210563.9000000000,174198.6753792296,0.8272960150302574,17.683898590025308,-0.27352446197939867
../INF-2926/input/alut2010.stp,6104,11011,17115,95233.23000000000,87772.09156267798,0.9216540441049619,16.539177444586702,-0.11770277863210593
../INF-2926/input/alut0805.stp,966,1666,2632,18173.33000000000,11244.73947995536,0.6187495346177808,14.149535176353812,-0.6925725599065362
../INF-2926/input/alue7080.stp,34479,55494,89973,619815.6400000000,575210.8037228344,0.9280353166351762,19.241479633791013,-0.1077483863395389
../INF-2926/input/dmxa1516.stp,720,1269,1989,14543.09000000000,8103.134229357366,0.5571810550135745,13.828046213734764,-0.8437818898961902
../INF-2926/input/alue5067.stp,3524,5560,9084,68971.48000000000,47083.28568823554,0.6826486206796715,16.073712304217835,-0.5507849228833338
../INF-2926/input/alue7065.stp,34046,54841,88887,641181.7900000000,567410.2604937381,0.8849444406300717,19.290373926988295,-0.17634121341331624
../INF-2926/input/alut1181.stp,3041,5693,8734,50552.89000000000,40878.37383723466,0.8086258537787782,15.625505949808074,-0.3064557639933714
../INF-2926/input/alue6951.stp,2818,4419,7237,54481.26000000000,36714.56471580055,0.6738934583341235,15.733472448808593,-0.5694075736327734
../INF-2926/input/alue5345.stp,5179,8165,13344,88547.60000000001,72065.87316957467,0.8138659113242444,16.434165584154858,-0.2971369723891459
../INF-2926/input/alue5623.stp,4472,6938,11410,61007.06000000000,61168.62240255474,1.002648257473065,15.896688586776042,0.0038155778341563105
../INF-2926/input/alue6457.stp,3932,6137,10069,84953.08000000000,53089.19918813116,0.6249237719001025,16.374378633258825,-0.6782478740865978
../INF-2926/input/alue2105.stp,1220,1858,3078,9079.760000000000,14366.25182758931,1.582228145632627,13.14843844876574,0.6619576407977725
../INF-2926/input/alut2764.stp,387,626,1013,16970.32000000000,3952.725435627887,0.2329199116827430,14.050726148794222,-2.1020941180348482
../INF-2926/input/dmxa0628.stp,169,280,449,1461.280000000000,1530.748624731689,1.047539571287973,10.513016928174842,0.06700474342116113
../INF-2926/input/dmxa1109.stp,343,559,902,3026.450000000000,3447.768214797274,1.139212018965215,11.563410801132994,0.18803627228250552
