Instance,N,M,N+M,CPU,CT,CT/CPU,Log(CPU),Log(CT/CPU)
../INF-2926/input/alue2087.stp,1244,1971,3215,490291.78,33052.678025969886,0.06741430179794139,18.90328104872073,-3.8908015012730237
../INF-2926/input/dmxa1304.stp,298,503,801,17924.71,6583.553984890192,0.36728928863508487,14.129662157614911,-1.4450112719416024
../INF-2926/input/dmxa1200.stp,770,1383,2153,46041.34,20644.502610408614,0.4483905683546269,15.490642202229457,-1.1571721627099325
../INF-2926/input/alut0787.stp,1160,2089,3249,72637.1,33074.524633458524,0.45533927749674097,16.148418984447886,-1.1349861835080235
../INF-2926/input/dmxa1010.stp,3983,7108,11091,256681.49,132644.36462656318,0.5167663808814699,17.969619737439967,-0.9524158787898179
../INF-2926/input/alut2625.stp,36711,68117,104828,2304660.03,1589603.9082252213,0.6897346626110497,21.136122517719727,-0.5358866236582076
../INF-2926/input/dmxa0848.stp,499,861,1360,19844.76,12189.538567258674,0.6142446956908865,14.276470494222618,-0.7031146006369103
../INF-2926/input/alue6735.stp,4119,6696,10815,157188.16,129867.3680135402,0.8261905223239473,17.26213302694052,-0.275453584529528
../INF-2926/input/alut2288.stp,9070,16595,25665,355469.37,337414.85063094867,0.9492093527803779,18.439365725834488,-0.07520177907590427
../INF-2926/input/dmxa1801.stp,2333,4137,6470,78546.78,72386.16973013777,0.9215676279809022,16.26126451346166,-0.11783805494272352
../INF-2926/input/dmxa0454.stp,1848,3286,5134,54351.71,55712.87957863004,1.0250437305216347,15.730037805229106,0.03568545944867916
../INF-2926/input/alue6179.stp,3372,5213,8585,114034.11,100610.95302778776,0.8822882296164521,16.79910590380217,-0.18067805644156176
../INF-2926/input/dmxa0734.stp,663,1154,1817,21576.2,17030.49581422457,0.7893185924409567,14.39715317932009,-0.3413203625046027
../INF-2926/input/dmxa0296.stp,233,386,619,5416.0,4867.931223540999,0.8988056173450885,12.403012023574997,-0.15391895380236645
../INF-2926/input/alut2566.stp,5021,9055,14076,183718.86,173046.95182008485,0.9419117439553286,17.487140211021167,-0.08633620757899116
../INF-2926/input/alue3146.stp,3626,5869,9495,127239.43,112270.42967652078,0.8823556477463063,16.95718628853773,-0.18056782025974447
../INF-2926/input/dmxa0903.stp,632,1087,1719,21212.47,15993.19910611644,0.7539527035803204,14.372624998969393,-0.4074540706643666
../INF-2926/input/dmxa1721.stp,1005,1731,2736,32807.46,27286.072694677376,0.8317032984168045,15.001736282236825,-0.26585914133447924
../INF-2926/input/alue7229.stp,940,1474,2414,34874.85,23841.91190900791,0.6836419915500113,15.089899391337969,-0.5486870800553174
../INF-2926/input/dmxa0368.stp,2050,3676,5726,80403.07,62994.06332109323,0.7834783338632868,16.29496296788422,-0.3520347156077367
../INF-2926/input/alut2610.stp,33901,62816,96717,1552503.71,1455498.0219576117,0.9375166143452319,20.566165285365557,-0.0930838372223258
../INF-2926/input/alue7066.stp,6405,10454,16859,139420.59,213181.76595630584,1.5290551127082868,17.08908411238146,0.6126404076130331
../INF-2926/input/alue5901.stp,11543,18429,29972,267610.87,404464.0657078983,1.511388777697626,18.029777191972975,0.5958748157052797
../INF-2926/input/alut2010.stp,6104,11011,17115,138517.07,215230.354209573,1.5538182709869115,17.07970425061638,0.6358177811734477
../INF-2926/input/alut0805.stp,966,1666,2632,18918.07,26098.59452509576,1.3795590419686448,14.207477293625551,0.464207202057331
../INF-2926/input/alue7080.stp,34479,55494,89973,1116404.43,1356201.745449537,1.2147943066201707,20.09042832360463,0.28071205215102535
../INF-2926/input/dmxa1516.stp,720,1269,1989,13552.57,18879.295808599723,1.3930417484358852,13.72627883811614,0.478238495095576
../INF-2926/input/alue5067.stp,3524,5560,9084,81243.98,107036.75572983304,1.3174730697564674,16.309973296012874,0.39777347227928184
../INF-2926/input/alue7065.stp,34046,54841,88887,1002970.16,1338211.3569143778,1.3342484256105662,19.935847253379535,0.41602730897272056
../INF-2926/input/alut1181.stp,3041,5693,8734,87874.67,101055.26310240298,1.14999308791035,16.423159745922305,0.20162518980666883
../INF-2926/input/alue6951.stp,2818,4419,7237,70693.87,82939.31932159283,1.1732179794597868,16.109297501175107,0.23047108554838236
../INF-2926/input/alue5345.stp,5179,8165,13344,162205.19,164644.38145873806,1.0150376905864607,17.30746045593696,0.021533298851448293
../INF-2926/input/alue5623.stp,4472,6938,11410,156604.9,138365.69803514078,0.8835336444462516,17.256769828158394,-0.178643022078114
../INF-2926/input/alue6457.stp,3932,6137,10069,138678.9,120234.4083482433,0.866998572589221,17.08138877268928,-0.2058984766653356
../INF-2926/input/alue2105.stp,1220,1858,3078,38347.13,31557.70420108187,0.8229482676039086,15.226830986229217,-0.281126352475065
../INF-2926/input/alut2764.stp,387,626,1013,7204.86,8707.940222974288,1.2086203233614934,12.814754681853497,0.2733611067616095
../INF-2926/input/dmxa0628.stp,169,280,449,13217.43,3322.994866890701,0.2514100598142529,13.690154065722039,-1.9918857165936683
../INF-2926/input/dmxa1109.stp,343,559,902,6055.66,7596.7024190878765,1.254479680016361,12.564068490962637,0.32708910225202664
