Instance,N,M,N+M,CPU,CT,CT/CPU,Log(CPU),Log(CT/CPU)
../INF-2926/input/alue2087.stp,1244,1971,3215,2826121.490000000,1971,0.0006974222470527973,21.43039205525545,-10.485679994211962
../INF-2926/input/dmxa1304.stp,298,503,801,511610.3900000000,503,0.0009831700251435472,18.964686037814428,-9.990271448008901
../INF-2926/input/dmxa1200.stp,770,1383,2153,1066060.980000000,1383,0.001297299146996263,20.023858533713376,-9.590273092562882
../INF-2926/input/alut0787.stp,1160,2089,3249,2033005.030000000,2089,0.001027542956939954,20.955182353983986,-9.926585576916878
../INF-2926/input/dmxa1010.stp,3983,7108,11091,26700765.33000000,7108,0.0002662095978205431,24.67037775900719,-11.875149792978513
../INF-2926/input/alut2625.stp,36711,68117,104828,3187996669.690000,68117,0.00002136670989892335,31.570002976217964,-15.514275699239107
../INF-2926/input/dmxa0848.stp,499,861,1360,354907.6800000000,861,0.002425983004932438,18.43708426827222,-8.687214840875376
../INF-2926/input/alue6735.stp,4119,6696,10815,28319614.55000000,6696,0.0002364438960910928,24.755298293665366,-12.046214481115019
../INF-2926/input/alut2288.stp,9070,16595,25665,140264274.7200000,16595,0.0001183123787801810,27.063572360733595,-13.04511135176793
../INF-2926/input/dmxa1801.stp,2333,4137,6470,8939976.760000000,4137,0.0004627528808027908,23.091839650366285,-11.07747040813115
../INF-2926/input/dmxa0454.stp,1848,3286,5134,5486618.630000000,3286,0.0005989116834242223,22.38748586816289,-10.705369103212817
../INF-2926/input/alue6179.stp,3372,5213,8585,18342423.89000000,5213,0.0002842045321415806,24.128680963069172,-11.780782818473158
../INF-2926/input/dmxa0734.stp,663,1154,1817,618204.2400000000,1154,0.001866696999684117,19.237724023498682,-9.065296514853198
../INF-2926/input/dmxa0296.stp,233,386,619,71448.19000000000,386,0.005402516144915637,16.124609843479366,-7.532152806211284
../INF-2926/input/alut2566.stp,5021,9055,14076,43376422.77000000,9055,0.0002087539594496625,25.37040774385193,-12.225908818014402
../INF-2926/input/alue3146.stp,3626,5869,9495,24229688.38000000,5869,0.0002422235031650044,24.53027251450143,-12.011373521724115
../INF-2926/input/dmxa0903.stp,632,1087,1719,751004.2900000000,1087,0.001447395193974192,19.51846162338015,-9.432325398352843
../INF-2926/input/dmxa1721.stp,1005,1731,2736,1885218.370000000,1731,0.0009181960177907665,20.8463002138098,-10.088910204443161
../INF-2926/input/alue7229.stp,940,1474,2414,1662037.080000000,1474,0.0008868634868242530,20.66452113827682,-10.139000329181751
../INF-2926/input/dmxa0368.stp,2050,3676,5726,8061510.360000000,3676,0.0004559939559514502,22.942618728765698,-11.098697677476665
../INF-2926/input/alut2610.stp,33901,62816,96717,2500010983.090000,62816,0.00002512628961427992,31.219287286959492,-15.280442829493321
../INF-2926/input/alue7066.stp,6405,10454,16859,69557484.31999999,10454,0.0001502929570009498,26.051702419962837,-12.699934976002943
../INF-2926/input/alue5901.stp,11543,18429,29972,223807574.7700000,18429,0.00008234305750794584,27.737683624270144,-13.567993455585066
../INF-2926/input/alut2010.stp,6104,11011,17115,62699430.93000000,11011,0.0001756156289886123,25.901949013168796,-12.475291135695503
../INF-2926/input/alut0805.stp,966,1666,2632,1363550.790000000,1666,0.001221810006798500,20.378937008569967,-9.67676432320442
../INF-2926/input/alue7080.stp,34479,55494,89973,2849753644.240000,55494,0.00001947326222818102,31.408190060423173,-15.648145884873685
../INF-2926/input/dmxa1516.stp,720,1269,1989,739124.0800000000,1269,0.001716897114216601,19.495457050681406,-9.185980696840298
../INF-2926/input/alue5067.stp,3524,5560,9084,20758896.25,5560,0.0002678369761590769,24.307226401886915,-11.866357234276041
../INF-2926/input/alue7065.stp,34046,54841,88887,3128453239.270000,54841,0.00001752974898637025,31.54280239434205,-15.799835136565921
../INF-2926/input/alut1181.stp,3041,5693,8734,16330589.28000000,5693,0.0003486095879572571,23.961073514878134,-11.486100130486985
../INF-2926/input/alue6951.stp,2818,4419,7237,15659630.81000000,4419,0.0002821905607875566,23.90054686439728,-11.791042648640273
../INF-2926/input/alue5345.stp,5179,8165,13344,51712269.49000000,8165,0.0001578928962222192,25.624003285801756,-12.628766115352693
../INF-2926/input/alue5623.stp,4472,6938,11410,38753437.19000000,6938,0.0001790292810927825,25.207820938393326,-12.447516813106944
../INF-2926/input/alue6457.stp,3932,6137,10069,27440871.51000000,6137,0.0002236445004220640,24.709822965809316,-12.126505097671808
../INF-2926/input/alue2105.stp,1220,1858,3078,2335438.800000000,1858,0.0007955678393285236,21.15526220924141,-10.295727422858755
../INF-2926/input/alut2764.stp,387,626,1013,234123.6800000000,626,0.002673800445986497,17.836911334947537,-8.546892488014917
../INF-2926/input/dmxa0628.stp,169,280,449,39609.95000000000,280,0.007068930912561112,15.273575259666066,-7.144292242721098
../INF-2926/input/dmxa1109.stp,343,559,902,177832.0400000000,559,0.003143415550988449,17.44015575239963,-8.313451279556443
