Instance,N,M,N+M,CPU,CT,CT/CPU,Log(CPU),Log(CT/CPU)
../INF-2926/input/alue2087.stp,1244,1971,3215,179729.81,14760.27883804247,0.08212482302208225,17.45547018864038,-3.606037833325321
../INF-2926/input/dmxa1304.stp,298,503,801,15631.26,2952.312219097724,0.1888723122190869,13.932146454911043,-2.404516869878648
../INF-2926/input/dmxa1200.stp,770,1383,2153,22518.28,8766.310269398342,0.389297507154114,14.458809014683538,-1.3610549883935665
../INF-2926/input/alut0787.stp,1160,2089,3249,41080.92,13897.694544417323,0.3383004700093699,15.326180870469807,-1.5636229133814852
../INF-2926/input/dmxa1010.stp,3983,7108,11091,533884.99,54743.24518146255,0.10253752438603407,19.02616946311526,-3.2857761233161535
../INF-2926/input/alut2625.stp,36711,68117,104828,651490.26,624799.8430844441,0.9590317483555995,19.31338408461205,-0.06034951902140848
../INF-2926/input/dmxa0848.stp,499,861,1360,61390.68,5333.485106663293,0.08687776559346293,15.90573202963395,-3.524869190783963
../INF-2926/input/alue6735.stp,4119,6696,10815,202330.31,56157.27497436635,0.27755245852371974,17.62635293279664,-1.8491676225255023
../INF-2926/input/alut2288.stp,9070,16595,25665,251955.84,135837.26359722207,0.5391312366374285,17.94281137087702,-0.8912915948223735
../INF-2926/input/dmxa1801.stp,2333,4137,6470,32477.74,30238.53539109914,0.9310541740619618,14.9871636240112,-0.10306298040437573
../INF-2926/input/dmxa0454.stp,1848,3286,5134,22841.97,23340.032228536875,1.0218046967287355,14.479399460489635,0.03111947221811211
../INF-2926/input/alue6179.stp,3372,5213,8585,45565.69,44730.779104216694,0.9816767639032064,15.47566029389612,-0.02668002745506523
../INF-2926/input/dmxa0734.stp,663,1154,1817,8073.19,7368.209534854645,0.9126763441532586,12.97892313013739,-0.13182475654912723
../INF-2926/input/dmxa0296.stp,233,386,619,2547.67,2218.355371704447,0.8707388993489922,11.314962701896757,-0.19968791921575166
../INF-2926/input/alut2566.stp,5021,9055,14076,68477.05,70781.96398754235,1.0336596565935936,16.063332931141858,0.047761241193308025
../INF-2926/input/alue3146.stp,3626,5869,9495,49822.03,48743.41579853232,0.9783506573002408,15.604496184975407,-0.031576450898745154
../INF-2926/input/dmxa0903.stp,632,1087,1719,7862.62,6966.9894328479295,0.8860900606728965,12.940794415361013,-0.17447475560706
../INF-2926/input/dmxa1721.stp,1005,1731,2736,12603.51,11753.844684996624,0.9325850247269708,13.621537950925529,-0.10069283154624449
../INF-2926/input/alue7229.stp,940,1474,2414,10637.25,10757.925929771101,1.011344654846986,13.376837605185857,0.016274735226524863
../INF-2926/input/dmxa0368.stp,2050,3676,5726,26569.8,26228.88679850526,0.9871691468699524,14.697499747758219,-0.018630789898912488
../INF-2926/input/alut2610.stp,33901,62816,96717,568326.5,572993.5121476576,1.0082118503143134,19.116360461561477,0.01179881669976671
../INF-2926/input/alue7066.stp,6405,10454,16859,303716.41,91445.1151877418,0.3010871726942308,18.212365334822433,-1.7317468490785797
../INF-2926/input/alue5901.stp,11543,18429,29972,165681.18,174198.67537922962,1.051408949279753,17.338050208180825,0.07232391986508512
../INF-2926/input/alut2010.stp,6104,11011,17115,77582.18,87772.09156267798,1.1313434549361463,16.243437694617043,0.17803697133755528
../INF-2926/input/alut0805.stp,966,1666,2632,11169.23,11244.739479955357,1.0067604910952104,13.447242110270217,0.009720506177059269
../INF-2926/input/alue7080.stp,34479,55494,89973,503682.11,575210.8037228344,1.1420115829065964,18.942153964073693,0.1915772833777798
../INF-2926/input/dmxa1516.stp,720,1269,1989,7104.07,8103.134229357366,1.1406326555562327,12.794430082025123,0.18983424181345118
../INF-2926/input/alue5067.stp,3524,5560,9084,40480.75,47083.28568823554,1.1631030968604965,15.304948399108776,0.21797898222572681
../INF-2926/input/alue7065.stp,34046,54841,88887,480037.13,567410.2604937381,1.1820132757100228,18.87278647442717,0.24124623914781174
../INF-2926/input/alut1181.stp,3041,5693,8734,30311.72,40878.373837234656,1.348599612203948,14.887588097889642,0.43146208792506163
../INF-2926/input/alue6951.stp,2818,4419,7237,28908.4,36714.56471580055,1.2700310192124278,14.819201141393,0.34486373378282337
../INF-2926/input/alue5345.stp,5179,8165,13344,78280.8,72065.87316957467,0.9206072647389227,16.256370879384058,-0.11934226761834626
../INF-2926/input/alue5623.stp,4472,6938,11410,48006.96,61168.62240255474,1.2741615466289626,15.550955960999307,0.34954820361089173
../INF-2926/input/alue6457.stp,3932,6137,10069,56105.57,53089.19918813116,0.9462375872508053,15.775856384117535,-0.07972562494530887
../INF-2926/input/alue2105.stp,1220,1858,3078,11940.53,14366.251827589305,1.2031502644848515,13.543579253958011,0.2668168356055005
../INF-2926/input/alut2764.stp,387,626,1013,3024.54,3952.725435627887,1.3068848273218032,11.562500025336103,0.3861320054232712
../INF-2926/input/dmxa0628.stp,169,280,449,1223.91,1530.7486247316892,1.2507035850117159,10.257281758274729,0.3227399133212738
../INF-2926/input/dmxa1109.stp,343,559,902,2855.87,3447.768214797274,1.207256708042479,11.479714593642573,0.2717324797729265
