N,CT,CPU,CT/CPU,Log(CPU)
13000,13000,456,28.50877192982456,8.832890014164743
6000,6000,153.3636363636364,39.12270302311796,7.260812639650268
1000,1000,3.804562737642585,262.8422946232261,1.927730652813038
3000,3000,50.04950495049505,59.94065281899110,5.645283894038583
5000,5000,134.5,37.17472118959108,7.071462362556624
4000,4000,76.72727272727273,52.13270142180095,6.261667570069888
17000,17000,477.7272727272727,35.58515699333967,8.900043430212245
100000,100000,1285.800000000000,77.77259293824856,10.328450540510342
18000,18000,498.3636363636364,36.11820503465889,8.961054994188478
15000,15000,438.3333333333333,34.22053231939164,8.77588458345851
10000,10000,312.0588235294118,32.04524033930254,8.285674194551788
2000,2000,17.80782918149466,112.3101518784972,4.154439753944894
9000,9000,283.9444444444445,31.69634122480923,8.149464874557898
11000,11000,348.6666666666667,31.54875717017208,8.445704635525786
18000,18000,508.1818181818182,35.42039355992844,8.989200949093256
14000,14000,445.1538461538461,31.44980127872818,8.798160210629169
16000,16000,481.0833333333333,33.25827126277499,8.91014300928663
6000,6000,149.0882352941177,40.24462418623003,7.220022607339138
1000,1000,3.954150197628458,252.8988404638145,1.9833676725992975
17000,17000,549.5454545454545,30.93465674110836,9.102095005499189
8000,8000,237.3636363636364,33.70356185369590,7.890955123675545
7000,7000,208.2000000000000,33.62151777137368,7.701826258412056
2000,2000,17.04081632653061,117.3652694610778,4.090922543246207
14000,14000,440,31.81818181818182,8.78135971352466
16000,16000,507.9090909090909,31.50170037587256,8.988426486316731
12000,12000,377.5714285714286,31.78206583427923,8.560605787583965
20000,20000,525.4000000000000,38.06623524933384,9.03727239024627
12000,12000,386.1538461538461,31.07569721115538,8.593031930697043
5000,5000,128.2820512820513,38.97661403158106,7.003175518130455
7000,7000,194.3461538461538,36.01820700573916,7.602484746476861
13000,13000,393.9285714285714,33.00090661831369,8.621790248421142
20000,20000,586.1000000000000,34.12386964681795,9.195003027111335
19000,19000,562.7000000000000,33.76577216989514,9.136222153170195
19000,19000,581,32.70223752151463,9.18239435340453
3000,3000,42.02521008403362,71.38572285542891,5.39318312639963
8000,8000,236.3636363636364,33.84615384615385,7.88486428927852
15000,15000,452.3846153846154,33.15762625403843,8.82140605702084
4000,4000,82.29508196721312,48.60557768924302,6.362734311275248
11000,11000,366.5714285714286,30.00779423226812,8.517950533032078
9000,9000,297.0588235294118,30.29702970297030,8.21460483127618
10000,10000,345.6875,28.92786114626650,8.433324626715926
