N,CT,CPU,CT/CPU,Log(CPU)
100000,1.0E10,3.3758434547908234,2.96222266640016E9,1.7552480046868688
10000,1.0E8,0.12616044399596368,7.926414717056588E8,-2.986668452366277
10000,1.0E8,0.12478790298432978,8.013597280543891E8,-3.0024500096488054
1000,1000000.0,0.008518821980298201,1.173871225754849E8,-6.875130342554303
1000,1000000.0,0.008440947965209994,1.1847010597880423E8,-6.8883792539869
11000,1.21E8,0.13597803034422754,8.898496300739851E8,-2.878554517483663
11000,1.21E8,0.14202141254650272,8.51984203159368E8,-2.815819633849228
12000,1.44E8,0.15255788414020316,9.439040191961608E8,-2.7125713550490964
12000,1.44E8,0.1553491550695825,9.269442111577685E8,-2.686413700097954
13000,1.69E8,0.16545358300800636,1.0214345130973805E9,-2.5955015603725364
13000,1.69E8,0.1655192956907394,1.0210289942011597E9,-2.594928683446059
14000,1.96E8,0.18560029690109484,1.0560327934413117E9,-2.429729076569536
14000,1.96E8,0.19682777078085642,9.957944411117777E8,-2.344994307435385
15000,2.25E8,0.19891810190525436,1.131118776244751E9,-2.3297535248965753
15000,2.25E8,0.19942576863261155,1.128239352129574E9,-2.3260762564826227
16000,2.56E8,0.21199660873251377,1.2075664867026594E9,-2.237886908419252
16000,2.56E8,0.20920309558669734,1.2236912617476506E9,-2.257023895527484
17000,2.89E8,0.2443564936968631,1.1826982603479304E9,-2.0329406506269874
17000,2.89E8,0.22469335489958214,1.2861973605278945E9,-2.153970636124677
18000,3.24E8,0.2555572589299402,1.2678176364727056E9,-1.9682815241968843
18000,3.24E8,0.2538965324668731,1.2761103779244153E9,-1.9776874030410025
19000,3.61E8,0.2774325973593698,1.301216956608678E9,-1.849790785647674
19000,3.61E8,0.2573060300473348,1.4029986002799442E9,-1.958442827409713
20000,4.0E8,0.2581694285271798,1.549370125974805E9,-1.9536099227609327
20000,4.0E8,0.3159790231882227,1.2659068186362727E9,-1.6620993091015601
2000,4000000.0,0.017147559532993878,2.3326934613077387E8,-5.865852925340582
2000,4000000.0,0.01725905142514003,2.317624475104979E8,-5.856503015052346
3000,9000000.0,0.026208494046620828,3.4340011997600484E8,-5.253821731716597
3000,9000000.0,0.025386431127693596,3.5452009598080385E8,-5.299798597320801
4000,1.6E7,0.035590506351635055,4.4955808838232356E8,-4.812363731335673
4000,1.6E7,0.03515938075619736,4.5507058588282347E8,-4.829946528503602
5000,2.5E7,0.04790046358377074,5.2191561687662464E8,-4.3838165712502075
5000,2.5E7,0.04749558379394837,5.263647270545891E8,-4.396062813905126
6000,3.6E7,0.06473618805985605,5.561031793641272E8,-3.9492837737033044
6000,3.6E7,0.06306431273644389,5.708458308338332E8,-3.9870323557711305
7000,4.9E7,0.08552957876554189,5.729012197560488E8,-3.5474327550549187
7000,4.9E7,0.0798180512329423,6.138962207558488E8,-3.6471411340637383
8000,6.4E7,0.095979272622589,6.668106378724256E8,-3.3811333101209105
8000,6.4E7,0.09508870001711255,6.730557888422315E8,-3.3945822829464585
9000,8.1E7,0.11206471563662439,7.227966406718656E8,-3.157595987922022
9000,8.1E7,0.11095580404685836,7.300203959208158E8,-3.171942958667358
