N,CT,CPU,CT/CPU
2051,22565.33125356018,44612.16000000000,0.5058112239703295
64774,1035291.082378429,373125.5,2.774645748892608
5256,64962.84368905418,12482.93000000000,5.204134260870980
4493,54515.65081592981,8516.879999999999,6.400894554805259
55363,872334.5558862927,187371.3100000000,4.655646352081825
11519,155411.2131841994,21760.79000000000,7.141800145316389
25253,369304.0934567292,82179.85000000001,4.493852123808077
2399,26936.49364406195,6367.920000000000,4.230030158051915
78,490.2613730712554,279.5600000000000,1.753689272682985
169,1250.748624731689,412.4400000000000,3.032558977625083
8416,109735.5422138840,16600.79000000000,6.610260247487258
88668,1457358.412537345,213339.6400000000,6.831165612435386
91,592.2093122580814,404.9800000000000,1.462317428658406
13477,184880.3399673098,27815.11000000000,6.646759260247751
1096,11067.44316292474,2353.190000000000,4.703165984440159
314,2604.510915151970,623.3500000000000,4.178248039066288
9846,130610.3606506165,17932.74000000000,7.283346585664908
2806,32140.76381789744,3738.75,8.596660332436628
586,5388.127516691437,759.0200000000000,7.098795178903634
501,4493.302063390799,705.0800000000000,6.372754954602029
3283,38348.06323050310,4750.630000000000,8.072205840173430
1282,13235.59946076523,1716.760000000000,7.709638773483321
47319,734870.3144444588,94434.72000000000,7.781781048797082
40444,618940.3380844637,79719.88000000000,7.763939660778011
197,1501.544208432906,304.4400000000000,4.932151518962377
3841,45735.80966060782,6418.860000000000,7.125223117595309
34568,521186.9044549059,71458.20000000000,7.293591280705447
145,1041.086818052165,338.6100000000000,3.074589699217877
106,713.1595681836991,228.2600000000000,3.124330010442912
58,339.7628977173991,638.0900000000000,0.5324686137024544
21584,310759.4092775554,45165.46000000000,6.880465941840410
1753,18889.64482217147,2924.190000000000,6.459787093920529
103741,1728597.551922022,94939.03999999999,18.20744713578336
15768,219880.2197785337,41089.22000000000,5.351287266551511
50,282.1928094887362,121.5500000000000,2.321619164860027
67,406.4279757606707,172.9700000000000,2.349702120371572
685,6452.672721825804,1620.350000000000,3.982270942590060
18448,261429.8695630799,32205.60000000000,8.117528304489898
124,862.3203424879727,204.25,4.221886621728141
7194,92173.68932710993,11717.71000000000,7.866186253722778
29546,438778.0496974809,58678.91000000000,7.477610775276514
367,3126.706504793459,885.3200000000001,3.531724692533162
937,9249.975207686657,2323.570000000000,3.980932447779347
429,3751.533716287305,1023.900000000000,3.663964953889349
6149,77392.15082651352,18113.29000000000,4.272672210653808
801,7726.172404359378,1323.480000000000,5.837770426723016
75785,1228446.408340605,234479,5.239046602640768
1499,15814.12721725384,3039.240000000000,5.203316361081666
230,1804.462711717207,415.3600000000000,4.344334340613459
269,2171.223375527732,443.0700000000000,4.900407103906227
