Instance,N,M,N+M,CPU,CT,CT/CPU,Log(CPU),Log(CT/CPU)
alue2087.stp,1244,1971,3215,3147126.33,1549507.0,0.49235614891887736,21.58560366089552,-1.0222258191625595
alue2105.stp,1220,1858,3078,2806193.55,1490258.0,0.5310603040905714,21.420183087902526,-0.9130524005762054
alue3146.stp,3626,5869,9495,2.826802581E7,1.3153745E7,0.46532237830866763,24.75266779557392,-1.1036975239568316
alue5067.stp,3524,5560,9084,2.62230093E7,1.2424136E7,0.47378757555487727,24.644329920063576,-1.0776877285599311
alue5345.stp,5179,8165,13344,5.797431045E7,2.6830206E7,0.4627947411835064,25.788910419681667,-1.1115556239414874
alue5623.stp,4472,6938,11410,4.281985317E7,2.0005722E7,0.4672066931330862,25.35177651291777,-1.0978671526883859
alue5901.stp,11543,18429,29972,2.9748010073E8,1.33259278E8,0.44796030952318816,28.148217924869655,-1.1585571835659603
alue6179.stp,3372,5213,8585,2.322017251E7,1.1375597E7,0.4899014852323334,24.468875354692237,-1.0294364294473006
alue6457.stp,3932,6137,10069,3.180887594E7,1.5466761E7,0.4862404138132521,24.922926055125725,-1.0402582871132822
alue6735.stp,4119,6696,10815,3.557569667E7,1.6972857E7,0.47709134574201434,25.084388673177294,-1.0676625782744686
alue6951.stp,2818,4419,7237,1.63230579E7,7945543.0,0.48676804607793495,23.96040801587829,-1.0386936295431537
alue7065.stp,34046,54841,88887,5.68868781491E9,1.159184957E9,0.20377018298697752,32.405448764648185,-2.294985132706133
alue7066.stp,6405,10454,16859,8.855920204E7,4.1034479E7,0.46335646725301044,26.400138887029723,-1.109805586783837
alue7080.stp,34479,55494,89973,4.47093174607E9,1.188856935E9,0.2659080931049817,32.057928375631086,-1.9110004075573752
alue7229.stp,940,1474,2414,2899419.03,885074.0,0.3052590849553747,21.46733241904523,-1.7118938623281652
alut0787.stp,1160,2089,3249,2472757.73,1347689.0,0.5450145736679185,21.237689467018342,-0.8756332868742709
alut0805.stp,966,1666,2632,1699755.15,934822.0,0.5499745066223215,20.696895510203646,-0.8625633490172745
alut1181.stp,3041,5693,8734,2.260447202E7,9253374.0,0.4093603244443309,24.430104884764983,-1.2885568129979015
alut2010.stp,6104,11011,17115,9.927410771E7,3.7269827E7,0.3754234398043929,26.564914152868422,-1.4134093663119212
alut2288.stp,9070,16595,25665,2.0896410433E8,8.2281495E7,0.3937589915924485,27.638679897803318,-1.3446152266821176
alut2566.stp,5021,9055,14076,8.113807286E7,2.5219496E7,0.31082197433398595,26.273875701185858,-1.6858395926153342
alut2610.stp,33901,62816,96717,6.56393342708E9,1.149340617E9,0.1750993714010427,32.61191346076772,-2.513754190317641
alut2625.stp,36711,68117,104828,5.02464829706E9,1.347765638E9,0.2682308409105168,32.22637547160224,-1.8984529684927687
alut2764.stp,387,626,1013,270961.23,150395.0,0.5550425055274514,18.04772691535876,-0.8493298366398532
dmxa0296.stp,233,386,619,90748.81,54675.0,0.6024872392266081,16.469591104549245,-0.7309974097264251
dmxa0368.stp,2050,3676,5726,9117876.62,4206176.0,0.461310914294868,23.120266456601158,-1.1161886689203648
dmxa0454.stp,1848,3286,5134,6578882.43,3418390.0,0.519600408788579,22.649411100149017,-0.9445255290803525
dmxa0628.stp,169,280,449,53348.84,28841.0,0.5406115671868404,15.703169281443731,-0.8873357140829029
dmxa0734.stp,663,1154,1817,1191359.23,440723.0,0.3699329210720095,20.184177063295667,-1.4346644003894296
dmxa0848.stp,499,861,1360,655487.88,249862.0,0.381184774919103,19.322209579635103,-1.3914375978518936
dmxa0903.stp,632,1087,1719,1121949.95,400511.0,0.35697759958008823,20.097576888321377,-1.4860945472118328
dmxa1010.stp,3983,7108,11091,3.470863412E7,1.5871397E7,0.45727518245537924,25.048791256486272,-1.1288654725282439
dmxa1109.stp,343,559,902,222516.65,118208.0,0.5312321572340767,17.763553765453903,-0.9125856144714636
dmxa1200.stp,770,1383,2153,1102350.79,594283.0,0.5391051608898471,20.072151960621632,-0.8913613742358988
dmxa1304.stp,298,503,801,163687.89,89307.0,0.5455932017939751,17.320588066357598,-0.8741024266968717
dmxa1516.stp,720,1269,1989,990659.6,519669.0,0.5245686813109165,19.918029893347647,-0.930796418939453
dmxa1721.stp,1005,1731,2736,1914756.99,1011756.0,0.528399167771154,20.86872987449355,-0.9202999005459497
dmxa1801.stp,2333,4137,6470,1.083849381E7,5447026.0,0.5025630032629045,23.36966094822601,-0.9926236253673993
teste.stp,7,0,7,471776.88,49.0,1.038626564319981E-4,18.847745193720765,-13.233035349605558
