Name Instance,Number of Vertex,Number of Edge,Average time,Theoretical complexity
alue2087.stp,1244,1971,27.0,33052.678025969886
alue2105.stp,1220,1858,9.0,31557.70420108187
alue3146.stp,3626,5869,20.0,112270.42967652078
alue5067.stp,3524,5560,35.0,107036.75572983304
alue5345.stp,5179,8165,41.0,164644.38145873806
alue5623.stp,4472,6938,37.0,138365.69803514078
alue5901.stp,11543,18429,168.0,404464.0657078983
alue6179.stp,3372,5213,16.0,100610.95302778776
alue6457.stp,3932,6137,16.0,120234.4083482433
alue6735.stp,4119,6696,16.0,129867.3680135402
alue6951.stp,2818,4419,7.0,82939.31932159283
alue7065.stp,34046,54841,97.0,1338211.3569143778
alue7066.stp,6405,10454,16.0,213181.76595630584
alue7080.stp,34479,55494,116.0,1356201.745449537
alue7229.stp,940,1474,1.2,23841.91190900791
alut0787.stp,1160,2089,0.8571428571428571,33074.524633458524
alut0805.stp,966,1666,1.5,26098.59452509576
alut1181.stp,3041,5693,8.0,101055.26310240298
alut2010.stp,6104,11011,14.0,215230.354209573
alut2288.stp,9070,16595,21.0,337414.85063094867
alut2566.stp,5021,9055,14.0,173046.95182008485
alut2610.stp,33901,62816,90.0,1455498.0219576117
alut2625.stp,36711,68117,89.0,1589603.9082252213
alut2764.stp,387,626,0.18181818181818182,8707.940222974288
dmxa0296.stp,233,386,0.08108108108108109,4867.931223540999
dmxa0368.stp,2050,3676,1.5,62994.06332109323
dmxa0454.stp,1848,3286,2.0,55712.87957863004
dmxa0628.stp,169,280,0.10344827586206896,3322.994866890701
dmxa0734.stp,663,1154,0.5454545454545454,17030.49581422457
dmxa0848.stp,499,861,0.25,12189.538567258674
dmxa0903.stp,632,1087,0.35294117647058826,15993.19910611644
dmxa1010.stp,3983,7108,9.0,132644.36462656318
dmxa1109.stp,343,559,0.5714285714285714,7596.7024190878765
dmxa1200.stp,770,1383,0.375,20644.502610408614
dmxa1304.stp,298,503,0.25,6583.553984890192
dmxa1516.stp,720,1269,0.75,18879.295808599723
dmxa1721.stp,1005,1731,3.0,27286.072694677376
dmxa1801.stp,2333,4137,7.0,72386.16973013777
teste.stp,7,0,0.002372479240806643,19.651484454403228
