Name Instance,Number of Vertex,Number of Edge,Average time,Theoretical complexity
alue2087.stp,1244,1971,741.0,1981.2807707701306
alue2105.stp,1220,1858,11.0,1868.2526654324502
alue3146.stp,3626,5869,51.0,5880.824163209744
alue5067.stp,3524,5560,37.0,5571.782998208921
alue5345.stp,5179,8165,49.0,8177.3384578431305
alue5623.stp,4472,6938,45.0,6950.126704472843
alue5901.stp,11543,18429,41.0,18442.494730605496
alue6179.stp,3372,5213,6.0,5224.719388820942
alue6457.stp,3932,6137,8.0,6148.94104760634
alue6735.stp,4119,6696,8.0,6708.008078410869
alue6951.stp,2818,4419,8.0,4430.460455896309
alue7065.stp,34046,54841,97.0,54856.055197688234
alue7066.stp,6405,10454,9.0,10466.644982855229
alue7080.stp,34479,55494,110.0,55509.073430311866
alue7229.stp,940,1474,1.2,1483.876516946565
alut0787.stp,1160,2089,1.5,2099.179909090015
alut0805.stp,966,1666,0.8571428571428571,1675.9158793788358
alut1181.stp,3041,5693,3.5,5704.570330101031
alut2010.stp,6104,11011,6.0,11023.575539246835
alut2288.stp,9070,16595,10.0,16608.146886835417
alut2566.stp,5021,9055,6.0,9067.293759009668
alut2610.stp,33901,62816,47.0,62831.04904020966
alut2625.stp,36711,68117,50.0,68132.16392479323
alut2764.stp,387,626,0.2727272727272727,634.5961897561444
dmxa0296.stp,233,386,0.1935483870967742,393.8641861446543
dmxa0368.stp,2050,3676,2.0,3687.0014081943928
dmxa0454.stp,1848,3286,2.0,3296.851749041416
dmxa0628.stp,169,280,0.25,287.4008794362822
dmxa0734.stp,663,1154,0.75,1163.3728650601126
dmxa0848.stp,499,861,0.46153846153846156,869.9628960053373
dmxa0903.stp,632,1087,0.6666666666666666,1096.3037807481771
dmxa1010.stp,3983,7108,5.0,7119.9596397643645
dmxa1109.stp,343,559,0.3157894736842105,567.4220647661729
dmxa1200.stp,770,1383,0.6666666666666666,1392.5887146355822
dmxa1304.stp,298,503,0.2857142857142857,511.2191685204622
dmxa1516.stp,720,1269,0.5454545454545454,1278.4918530963296
dmxa1721.stp,1005,1731,0.75,1740.9729797860664
dmxa1801.stp,2333,4137,2.3333333333333335,4148.187970591985
teste.stp,7,0,0.0029069767441860465,2.807354922057604
