Name Instance,Number of Vertex,Number of Edge,Average time,Theoretical complexity,Theoretical complexit
../INF-2926/input/alue2087.stp,1244,1971,414398.59,1549507.0,3.739170541096677
../INF-2926/input/dmxa1304.stp,298,503,11195.05,89307.0,7.977364996136686
../INF-2926/input/dmxa1200.stp,770,1383,61251.79,594283.0,9.702296047184907
../INF-2926/input/alut0787.stp,1160,2089,132757.67,1347689.0,10.15149633162438
../INF-2926/input/dmxa1010.stp,3983,7108,1795923.72,1.5871397E7,8.837456080818399
../INF-2926/input/alut2625.stp,36711,68117,1.9073731709E8,1.347765638E9,7.06608260282938
../INF-2926/input/dmxa0848.stp,499,861,14391.56,249862.0,17.361703665203773
../INF-2926/input/alue6735.stp,4119,6696,643289.11,1.6972857E7,26.384492969265406
../INF-2926/input/alut2288.stp,9070,16595,4780762.32,8.2281495E7,17.210957059249914
../INF-2926/input/dmxa1801.stp,2333,4137,345303.8,5447026.0,15.774590375200042
../INF-2926/input/dmxa0454.stp,1848,3286,107729.01,3418390.0,31.731378576671226
../INF-2926/input/alue6179.stp,3372,5213,625958.66,1.1375597E7,18.17308031172538
../INF-2926/input/dmxa0734.stp,663,1154,29282.7,440723.0,15.050627162112782
../INF-2926/input/dmxa0296.stp,233,386,4985.41,54675.0,10.967001710992676
../INF-2926/input/alut2566.stp,5021,9055,1210861.56,2.5219496E7,20.827728646369778
../INF-2926/input/alue3146.stp,3626,5869,628364.96,1.3153745E7,20.933288514369103
../INF-2926/input/dmxa0903.stp,632,1087,31271.65,400511.0,12.807478978563651
../INF-2926/input/dmxa1721.stp,1005,1731,62905.56,1011756.0,16.083729323767248
../INF-2926/input/alue7229.stp,940,1474,66590.05,885074.0,13.291385124354164
../INF-2926/input/dmxa0368.stp,2050,3676,329954.48,4206176.0,12.74774629518593
../INF-2926/input/alut2610.stp,33901,62816,1.5012594534E8,1.149340617E9,7.6558426619530255
../INF-2926/input/alue7066.stp,6405,10454,1799878.91,4.1034479E7,22.798466481281235
../INF-2926/input/alue5901.stp,11543,18429,6382903.52,1.33259278E8,20.87753286297519
../INF-2926/input/alut2010.stp,6104,11011,1451899.92,3.7269827E7,25.669694230715297
../INF-2926/input/alut0805.stp,966,1666,46699.89,934822.0,20.017648863841007
../INF-2926/input/alue7080.stp,34479,55494,1.9490735008E8,1.188856935E9,6.0996003204190705
../INF-2926/input/dmxa1516.stp,720,1269,25293.95,519669.0,20.54518965997798
../INF-2926/input/alue5067.stp,3524,5560,648441.77,1.2424136E7,19.159987179727796
../INF-2926/input/alue7065.stp,34046,54841,1.453811773E8,1.159184957E9,7.9734184199648785
../INF-2926/input/alut1181.stp,3041,5693,375539.67,9253374.0,24.64020378992185
../INF-2926/input/alue6951.stp,2818,4419,297235.84,7945543.0,26.73144328759277
../INF-2926/input/alue5345.stp,5179,8165,1034801.08,2.6830206E7,25.927887512448287
../INF-2926/input/alue5623.stp,4472,6938,628899.29,2.0005722E7,31.810692615029026
../INF-2926/input/alue6457.stp,3932,6137,747741.43,1.5466761E7,20.684638271280487
../INF-2926/input/alue2105.stp,1220,1858,58170.44,1490258.0,25.618819455379743
../INF-2926/input/alut2764.stp,387,626,7613.28,150395.0,19.754297753399324
../INF-2926/input/dmxa0628.stp,169,280,1482.49,28841.0,19.45443139582729
../INF-2926/input/dmxa1109.stp,343,559,5596.87,118208.0,21.12037621027467
